발신번호,가상번호,착신번호,통화일자,통화시작시간,통화시간(초),녹음파일,통화결과
1099181165,50369821002,1092262311,2026-09-01,10:41:21,371초,,통화성공
7077370448,50369821999,1039304884,2026-09-01,13:32:00,0초,,부재중
1040595384,50369821390,1092262311,2026-09-01,13:47:13,0초,,부재중
1040595384,50369821390,1092262311,2026-09-01,13:47:34,29초,,통화성공
1099787347,50369821019,1092262311,2026-09-01,13:59:48,186초,,통화성공
1090908390,50369821003,1067709798,2026-09-01,14:25:16,19초,,통화성공
1049086542,50369821023,1058892636,2026-09-02,04:59:35,3초,,통화성공
1049086542,50369821023,1058892636,2026-09-02,05:00:14,9초,,통화성공
1024796197,50369821002,1092262311,2026-09-02,10:37:06,0초,,부재중
1024796197,50369821002,1055858834,2026-09-02,10:37:06,0초,,부재중
1050461380,50369821005,1092262311,2026-09-02,17:58:22,222초,,통화성공
1033854491,50369821003,1067709798,2026-09-02,18:02:46,23초,,통화성공
1038197529,50369821005,1092262311,2026-09-02,19:24:09,568초,,통화성공
